# Clusters of late work items times series


Cluster 1	(10 Objects)  [Center object id =  395124]
395124: AD
244762: AD
105228: AD
169941: AD
170833: AD
367897: AD
182425: AD
096396: AD
071821: AD
692342: AD


Cluster 2	(18 Objects)  [Center object id =  220330]
220330: AD	FD
350131: AD	FD
114776: AD	FD
096459: AD	FD
072491: AD	FD	BI
356527: AD	FD	TD
385785: AD	NM	AD
129055: AD	FD	AD	FD
373048: AD	NM	TD	AD
267232: AD	FD	OP	TD
259444: AD	NM	TD	NM	AD
363875: AD	NM	AD	NM	AD
170725: AD	FD	AD	FD	AD
118518: NM	FD	AD	FD	AD
176734: AD	FD	TD	BI	AD	RD
059463: OP	FD	AD	AD	FD	FD	AD	TD
313289: AD	FD	AD	FD	TD	FD	TD	FD	TD
298672: FD	AD	AD	FD	TD	FD	TD	FD	TD	FD	AD	FD	RD


Cluster 3	(20 Objects)  [Center object id =  360792]
360792: AD	TD
187151: AD	TD
250018: AD	TD
187792: AD	TD
182270: AD	TD	FD
320596: AD	BI	TD
397883: AD	TD	RD
267693: AD	AD	TD
180203: BI	AD	TD
365169: AD	RD	TD
342635: AD	RD	TD
281311: AD	NM	TD
063758: AD	NM	TD
104428: AD	NM	TD
170267: AD	TD	FD	TD
112316: AD	TD	BI	OP
386325: AD	TD	BI	AD
360608: AD	BI	AD	TD
327085: AD	TD	AD	TD	AD
263754: AD	TD	AD	TD	BI	TD	FD	TD


Cluster 4	(14 Objects)  [Center object id =  106935]
106935: FD
166350: FD
172507: FD
194439: FD
101766: FD
356212: FD
118586: FD	FD
169502: NM	FD
391164: NM	FD
052997: NM	FD
174513: FD	FD
356897: FD	OP	FD
361236: FD	NM	FD	FD
361236: FD	BI	NM	FD RD	


Cluster 5	(34 Objects)  [Center object id =  193729]
193729: FD	AD
109845: FD	AD
149053: FD	AD
367130: FD	AD
353891: FD	AD	TD
288473: FD	AD	TD
108388: FD	AD	TD
186955: FD	AD	NM
356023: FD	FD	AD
101430: FD	FD	AD
256671: FD	RD	AD
170761: FD	FD	AD
110084: FD	BI	AD
365665: FD	NM	AD
115331: FD	NM	AD
198153: FD	OP	AD
211231: FD	TD	AD
170261: FD	TD	AD
170077: FD	TD	AD
390985: NM	FD	AD
126525: TD	FD	NM
561321: FD	AD	FD	TD
340117: FD	NM	AD	TD
107401: FD	BI	TD	AD
093154: FD	AD	FD	AD
364398: NM	FD	BI	AD
312415: NM	AD	FD	AD
059322: TD	BI	FD	AD
065654: TD	FD	AD	FD
098713: FD	RD	AD	OP	FD
132199: FD	TD	FD	AD	FD
175726: FD	AD	FD	AD	FD
073341: FD	FD	AD	BI	FD
097364: OP	AD	FD	AD	FD


Cluster 6	(30 Objects)  [Center object id =  161884]
386678: TD
365227: TD
195427: TD
090783: TD
235967: TD	TD
217372: TD	FD
120119: TD	FD
161884: TD	AD
067521: TD	AD
358095: TD	AD
322783: TD	RD
254398: TD	RD
721317: TD	RD
169891: TD	RD
249931: TD	NM
162657: TD	NM
186531: TD	NM	TD
169490: TD	AD	TD
186856: TD	AD	TD
095301: TD	AD	TD
108122: TD	AD	NM
078102: TD	OP	AD
112545: TD	FD	AD
309685: TD	FD	TD
178716: TD	FD	TD
059698: TD	FD	OP
386239: TD	NM	TD	FD
439348: TD	FD	NM	TD
186218: NM	FD	AD	TD
341921: TD	FD	TD	TD	RD









